UNIVERSITY HEALTH CRM  ·  OCCUPATIONAL HEALTH SYSTEM,,,,,
Product Backlog — All Teams (A–J)  ,,,,,
Team A (Manager),,,,,
ID,User Story,Acceptance Criteria (Key Features Implemented),Team Member/Members who developed this feature,Status,Notes
TMA-001,"As a manager, I want to submit a referral on behalf of a team member so that they can access the right occupational health service.","Can select an employee from my team list
Can choose a service type",Mahdi ,Done,
TMA-002,"As a manager, I want to add a reason and supporting notes when submitting a referral so that practitioners have clinical context.","Free-text reason field (required, max 1000 chars)
Visible to Practitioners and managers ",Mahdi ,Done,—
TMA-003,"As a manager, I want to view all referrals I have submitted so that I can track their progress.","View with: REF ID, employee name, service, date, status and department if applicable
Filterable by name, email and department
Searchable by employee name or referral ID
",Mahdi ,Done,—
TMA-004,"As a manager, I want to view the details of a specific referral of my team member so that I can see its current status and any updates.","Shows status, assigned practitioner, submission date, notes visible to manager
Read-only view (no edit post-submission), should have a view health data button that fulfills TMA-003",Mahdi ,Done,—
TMA-005,"As a manager, i want to be able to interact with the backend endpoints and ensure I have up to date data on the referrals of my team","Configure routes, ensure backend is working properly, My referral history dashboard provided for quick reference on submitted referrals and their information, any new referrals should show in the team members field in TEAM section",Savindu,Done,—
TMA-006,"As a manager, I want to have a user friendly and quick referral process that is intuitive and responsive","Basic UI need to be devloped with segmented sidebar icons for access to different pages and sections, My teams section needs to update with any new team members and their data, referral submission form should be accessible immediately on the team member's field, remove isolated referral field for duplication and ease of access",Savindu & Mahdi,Done,—
Team B (Employee),,,,,
ID,User Story,Acceptance Criteria (Key Features Implemented),Team Member/Members who developed this feature,Status,Notes
TMB-001,"As a manager, I want to receive outcome reports for referrals I submitted where consent is given so that I can support the employee's return to work.","Report only visible if share_with_manager = true on outcome_reports
Manager notified when the report is available
Report viewable in referral detail screen
Cannot be downloaded or printed by the manager - view only",Tevin and Ovin - Frontend and Backend,Not Done,—
TMB-002,"As a manager, I want to see workplace adjustment recommendations from outcome reports so that I can action them promptly.","Recommendations section highlighted in report view
Manager can mark recommendations as actioned
Actioned status logged in audit_log
Practitioner notified when recommendations actioned",Dulina and Esara - Frontend,Not Done,—
TMB-003,"As a manager, I want to receive an alert when an SLA deadline is approaching for one of my referrals so that I can escalate if needed.","Warning notification 48hrs before SLA breach
Critical notification on day of breach
Notification links to referral detail
Admin also notified simultaneously",Esara and Irusha - Frontend,in progress,—
TMB-004,"As a manager, I want to configure my notification preferences so that I only receive alerts that are relevant to me.","Toggle: in-app, email, SMS per notification type
Preferences saved per user
Default: in-app on for all; email off
Changes take effect immediately",Dulina and Irusha - Frontend,Not Done,—
TMB-005,"As a manager, I want to update my personal details so that my contact information is always accurate.","Editable fields: name, phone, job title, department
Email change requires re-verification
Changes logged in audit_log
Success toast confirmation shown",Tevin and Ovin - Frontend and Backend,Done,—
TMB-006,"As a manager, I want to view health guidance documents and advice sheets so that I can proactively support my team.","Searchable document library (public docs only)
Filterable by topic / service type
Documents open in-browser (PDF viewer)
Download allowed for advice sheets",Tevin and Ovin - Frontend and Backend,Done,—
,,,,,
Team C (Employee),,,,,
ID,,,,Status,Notes
TMC-001,"As a service user, I want to submit a self-referral, so that I can access services independently.","The Submit Referral feature provides a validated form including a read-only UserID, mandatory Service Type (dropdown) and Reason, and optional Notes. It employs strict validation to disable the ""Submit"" button until required fields are complete, accompanied by a GDPR compliance disclaimer.","Frontend - Vinuki & Senuthi
Backend - Tharusha",Done,—
TMC-002,"As a service user, I want to see my referral history, so that I can track my progress.","The Referral History feature displays a tracking table for Referral ID, Submission Date, Service Type, and Status. It includes a ""View Details"" pop-up message that allows users to instantly review their full submission.","Frontend - Vinuki & Senuthi
Backend - Tharusha",Done,—
